entry_id,entry_tag,entrytag_id,parent_tag_id,level,path,approved
387,Aḥmadī,662,661.0,4,Religious Group[8]->Indic Religious Traditions[510]->Islamic Traditions[661]->Aḥmadī[662],True
389,Religious Group,8,,1,Religious Group[8],True
389,Southeast Asian Religions,808,8.0,2,Religious Group[8]->Southeast Asian Religions[808],True
390,Religious Group,8,,1,Religious Group[8],True
390,Indic Religious Traditions,510,8.0,2,Religious Group[8]->Indic Religious Traditions[510],True
390,Bhakti traditions,512,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Bhakti traditions[512],True
390,Hinduism,566,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],True
390,Śaiva traditions,621,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Śaiva traditions[621],True
390,Liṅgāyat or Vīraśaiva,625,621.0,5,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Śaiva traditions[621]->Liṅgāyat or Vīraśaiva[625],True
390,Hindu Tantric traditions,642,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Tantric traditions[642],True
390,Hindu Śākta traditions,643,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Hindu Śākta traditions[643],True
390,Modern Hinduism,646,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],True
392,Religious Group,8,,1,Religious Group[8],True
392,Indic Religious Traditions,510,8.0,2,Religious Group[8]->Indic Religious Traditions[510],True
392,Sikh traditions,704,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Sikh traditions[704],True
395,Religious Group,8,,1,Religious Group[8],True
395,Indic Religious Traditions,510,8.0,2,Religious Group[8]->Indic Religious Traditions[510],True
395,Bhakti traditions,512,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Bhakti traditions[512],True
395,Hinduism,566,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],True
395,Vaiṣṇava Traditions,644,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644],True
395,Modern Hinduism,646,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],True
395,Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism),649,644.0,5,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Vaiṣṇava Traditions[644]->Gauḍīya Vaiṣṇava Sampradāya (Caitanya Vaiṣṇavism)[649],True
400,Religious Group,8,,1,Religious Group[8],True
400,Christian Traditions,18,8.0,2,Religious Group[8]->Christian Traditions[18],True
400,Pentecostal,180,18.0,3,Religious Group[8]->Christian Traditions[18]->Pentecostal[180],True
400,Evangelical (charismatic),784,18.0,3,Religious Group[8]->Christian Traditions[18]->Evangelical (charismatic)[784],True
406,Religious Group,8,,1,Religious Group[8],True
406,Chinese Religion,123,8.0,2,Religious Group[8]->Chinese Religion[123],True
406,Daoist Traditions,134,123.0,3,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134],True
406,Celestial Masters (tianshi dao 天師道)/Way of Orthodox Unity (zhengyi dao 正一道),136,134.0,4,Religious Group[8]->Chinese Religion[123]->Daoist Traditions[134]->Celestial Masters (tianshi dao 天師道)/Way of Orthodox Unity (zhengyi dao 正一道)[136],True
415,Religious Group,8,,1,Religious Group[8],True
415,Indic Religious Traditions,510,8.0,2,Religious Group[8]->Indic Religious Traditions[510],True
415,Hinduism,566,510.0,3,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566],True
415,Śaiva traditions,621,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Śaiva traditions[621],True
415,Modern Hinduism,646,566.0,4,Religious Group[8]->Indic Religious Traditions[510]->Hinduism[566]->Modern Hinduism[646],True
416,Religious Group,8,,1,Religious Group[8],True
